id;nome;id_estado_fk;;;
;ÁGUA RASA;29;;;
;Água Rasa;29;;;
;Alto Da Mooca;29;;;
;Vila Bertioga;29;;;
;Vila Canero;29;;;
;Vila Celeste;29;;;
;Vila Claudia;29;;;
;Vila Clotilde;29;;;
;Vila Diva;29;;;
;Vila Formosa;29;;;
;Vila Graciosa;29;;;
;Jardim Guanabara;29;;;
;Vila Haddad;29;;;
;Vila Invernada;29;;;
;Jardim Itália;29;;;
;Vila Leme;29;;;
;Vila Libanesa;29;;;
;Vila Lúcia Elvira;29;;;
;Chácara Mafalda;29;;;
;Vila Oratório;29;;;
;Chácara Paraíso;29;;;
;Vila Paulina;29;;;
;Vila Regente Feijó;29;;;
;Vila Rio Branco;29;;;
;Vila Santa Clara;29;;;
;Jardim Santa Rita;29;;;
;Parque Sevilha;29;;;
;Jardim Silveira;29;;;
;ARICANDUVA;29;;;
;Vila Alzira;29;;;
;Vila Antonieta;29;;;
;Aricanduva;29;;;
;Jardim Aricanduva;29;;;
;Conjunto Habitacional Barreira Grande;29;;;
;Jardim Caguacú;29;;;
;Jardim Catarina;29;;;
;Jardim Cotching;29;;;
;Vila Embira;29;;;
;Vila Falconi;29;;;
;Jardim Vila Formosa;29;;;
;Jardim Galli;29;;;
;Jardim Guannan;29;;;
;Jardim Haia Do Carrao;29;;;
;Jardim Iva;29;;;
;Jardim Maria Luiza;29;;;
;Jardim Maringá;29;;;
;Jardim Nice;29;;;
;Jardim Nova Carrão;29;;;
;Vila Nova York;29;;;
;Jardim Porteira Grande;29;;;
;Cidade Quarto Centenário;29;;;
;Jardim Record;29;;;
;Vila Rica;29;;;
;Jardim das Rosas;29;;;
;Jardim Santa Maria;29;;;
;Vila Santa Rita;29;;;
;Parque Santo Antônio;29;;;
;Jardim Santo Eduardo;29;;;
;Vila Sara;29;;;
;Jardim Tango;29;;;
;ARTUR ALVIM;29;;;
;Cidade A.E.Carvalho;29;;;
;Artur Alvim;29;;;
;Jardim Artur Alvim;29;;;
;Parque Artur Alvim;29;;;
;Parque Bela Vista;29;;;
;Jardim Brasil;29;;;
;Vila Campanela;29;;;
;Jardim Cardoso;29;;;
;Jardim Coimbra;29;;;
;Jardim Marina;29;;;
;Vila Nhocuné;29;;;
;Jardim Nordeste;29;;;
;Jardim Olímpia;29;;;
;Conjunto Habitacional Padre Jose De Anchieta;29;;;
;Conjunto Residencial Padre Manuel Da Nobrega;29;;;
;Conjunto Habitacional Padre Manuel De Paiva;29;;;
;Parque Das Paineiras;29;;;
;Conjunto Perola;29;;;
;Vila Santa Tereza;29;;;
;Jardim São Jose;29;;;
;Jardim São Nicolau;29;;;
;BELÉM;29;;;
;Belém;29;;;
;Belenzinho;29;;;
;Catumbi;29;;;
;Quarta Parada;29;;;
;Chácara Tatuapé;29;;;
;CANGAÍBA;29;;;
;Vila Antenor;29;;;
;Vila Araguaia;29;;;
;Jardim Arizona;29;;;
;Vila Belo Horizonte;29;;;
;Vila Brasil;29;;;
;Vila Buenos Aires;29;;;
;Cangaíba;29;;;
;Jardim Cangaíba;29;;;
;Jardim do Castelo;29;;;
;Chácara Cruzeiro do Sul;29;;;
;Jardim Danfer;29;;;
;Vila Dom Duarte Leopoldo;29;;;
;Vila Fernando;29;;;
;Jardim Flavio;29;;;
;Vila Franci;29;;;
;Jardim Gondolo;29;;;
;Jardim Gonzaga;29;;;
;Engenheiro Goulart;29;;;
;Vila Hilda;29;;;
;Jardim Janilópolis;29;;;
;Jardim Jaú;29;;;
;Vila Libanesa;29;;;
;Parque Líbano;29;;;
;Vila Londrina;29;;;
;Jardim de Lorenzo;29;;;
;Vila Mauad;29;;;
;Vila Mesquita;29;;;
;Jardim Otília;29;;;
;Jardim Paulistânia;29;;;
;Jardim Penha;29;;;
;Vila Penteado;29;;;
;Vila Pierina;29;;;
